first_name,last_name,store_id,active,Store_and_Status
MARY,SMITH,1,1,"Store 1 Active"
PATRICIA,JOHNSON,1,1,"Store 1 Active"
LINDA,WILLIAMS,1,1,"Store 1 Active"
BARBARA,JONES,2,1,"Store 2 Active"
ELIZABETH,BROWN,1,1,"Store 1 Active"
JENNIFER,DAVIS,2,1,"Store 2 Active"
MARIA,MILLER,1,1,"Store 1 Active"
SUSAN,WILSON,2,1,"Store 2 Active"
MARGARET,MOORE,2,1,"Store 2 Active"
DOROTHY,TAYLOR,1,1,"Store 1 Active"
LISA,ANDERSON,2,1,"Store 2 Active"
NANCY,THOMAS,1,1,"Store 1 Active"
KAREN,JACKSON,2,1,"Store 2 Active"
BETTY,WHITE,2,1,"Store 2 Active"
HELEN,HARRIS,1,1,"Store 1 Active"
SANDRA,MARTIN,2,0,"Store 2 Inactive"
DONNA,THOMPSON,1,1,"Store 1 Active"
CAROL,GARCIA,2,1,"Store 2 Active"
RUTH,MARTINEZ,1,1,"Store 1 Active"
SHARON,ROBINSON,2,1,"Store 2 Active"
MICHELLE,CLARK,1,1,"Store 1 Active"
LAURA,RODRIGUEZ,1,1,"Store 1 Active"
SARAH,LEWIS,2,1,"Store 2 Active"
KIMBERLY,LEE,2,1,"Store 2 Active"
DEBORAH,WALKER,1,1,"Store 1 Active"
JESSICA,HALL,2,1,"Store 2 Active"
SHIRLEY,ALLEN,2,1,"Store 2 Active"
CYNTHIA,YOUNG,1,1,"Store 1 Active"
ANGELA,HERNANDEZ,2,1,"Store 2 Active"
MELISSA,KING,1,1,"Store 1 Active"
BRENDA,WRIGHT,2,1,"Store 2 Active"
AMY,LOPEZ,1,1,"Store 1 Active"
ANNA,HILL,2,1,"Store 2 Active"
REBECCA,SCOTT,2,1,"Store 2 Active"
VIRGINIA,GREEN,2,1,"Store 2 Active"
KATHLEEN,ADAMS,2,1,"Store 2 Active"
PAMELA,BAKER,1,1,"Store 1 Active"
MARTHA,GONZALEZ,1,1,"Store 1 Active"
DEBRA,NELSON,1,1,"Store 1 Active"
AMANDA,CARTER,2,1,"Store 2 Active"
STEPHANIE,MITCHELL,1,1,"Store 1 Active"
CAROLYN,PEREZ,2,1,"Store 2 Active"
CHRISTINE,ROBERTS,2,1,"Store 2 Active"
MARIE,TURNER,1,1,"Store 1 Active"
JANET,PHILLIPS,1,1,"Store 1 Active"
CATHERINE,CAMPBELL,2,1,"Store 2 Active"
FRANCES,PARKER,1,1,"Store 1 Active"
ANN,EVANS,1,1,"Store 1 Active"
JOYCE,EDWARDS,2,1,"Store 2 Active"
DIANE,COLLINS,1,1,"Store 1 Active"
ALICE,STEWART,1,1,"Store 1 Active"
JULIE,SANCHEZ,1,1,"Store 1 Active"
HEATHER,MORRIS,1,1,"Store 1 Active"
TERESA,ROGERS,1,1,"Store 1 Active"
DORIS,REED,2,1,"Store 2 Active"
GLORIA,COOK,1,1,"Store 1 Active"
EVELYN,MORGAN,2,1,"Store 2 Active"
JEAN,BELL,1,1,"Store 1 Active"
CHERYL,MURPHY,1,1,"Store 1 Active"
MILDRED,BAILEY,1,1,"Store 1 Active"
KATHERINE,RIVERA,2,1,"Store 2 Active"
JOAN,COOPER,1,1,"Store 1 Active"
ASHLEY,RICHARDSON,1,1,"Store 1 Active"
JUDITH,COX,2,0,"Store 2 Inactive"
ROSE,HOWARD,2,1,"Store 2 Active"
JANICE,WARD,2,1,"Store 2 Active"
KELLY,TORRES,1,1,"Store 1 Active"
NICOLE,PETERSON,1,1,"Store 1 Active"
JUDY,GRAY,2,1,"Store 2 Active"
CHRISTINA,RAMIREZ,2,1,"Store 2 Active"
KATHY,JAMES,1,1,"Store 1 Active"
THERESA,WATSON,2,1,"Store 2 Active"
BEVERLY,BROOKS,2,1,"Store 2 Active"
DENISE,KELLY,1,1,"Store 1 Active"
TAMMY,SANDERS,2,1,"Store 2 Active"
IRENE,PRICE,2,1,"Store 2 Active"
JANE,BENNETT,2,1,"Store 2 Active"
LORI,WOOD,1,1,"Store 1 Active"
RACHEL,BARNES,1,1,"Store 1 Active"
MARILYN,ROSS,1,1,"Store 1 Active"
ANDREA,HENDERSON,1,1,"Store 1 Active"
KATHRYN,COLEMAN,1,1,"Store 1 Active"
LOUISE,JENKINS,1,1,"Store 1 Active"
SARA,PERRY,2,1,"Store 2 Active"
ANNE,POWELL,2,1,"Store 2 Active"
JACQUELINE,LONG,2,1,"Store 2 Active"
WANDA,PATTERSON,1,1,"Store 1 Active"
BONNIE,HUGHES,2,1,"Store 2 Active"
JULIA,FLORES,1,1,"Store 1 Active"
RUBY,WASHINGTON,2,1,"Store 2 Active"
LOIS,BUTLER,2,1,"Store 2 Active"
TINA,SIMMONS,2,1,"Store 2 Active"
PHYLLIS,FOSTER,1,1,"Store 1 Active"
NORMA,GONZALES,1,1,"Store 1 Active"
PAULA,BRYANT,2,1,"Store 2 Active"
DIANA,ALEXANDER,1,1,"Store 1 Active"
ANNIE,RUSSELL,2,1,"Store 2 Active"
LILLIAN,GRIFFIN,1,1,"Store 1 Active"
EMILY,DIAZ,2,1,"Store 2 Active"
ROBIN,HAYES,1,1,"Store 1 Active"
PEGGY,MYERS,1,1,"Store 1 Active"
CRYSTAL,FORD,1,1,"Store 1 Active"
GLADYS,HAMILTON,1,1,"Store 1 Active"
RITA,GRAHAM,1,1,"Store 1 Active"
DAWN,SULLIVAN,1,1,"Store 1 Active"
CONNIE,WALLACE,1,1,"Store 1 Active"
FLORENCE,WOODS,1,1,"Store 1 Active"
TRACY,COLE,1,1,"Store 1 Active"
EDNA,WEST,2,1,"Store 2 Active"
TIFFANY,JORDAN,2,1,"Store 2 Active"
CARMEN,OWENS,1,1,"Store 1 Active"
ROSA,REYNOLDS,2,1,"Store 2 Active"
CINDY,FISHER,2,1,"Store 2 Active"
GRACE,ELLIS,2,1,"Store 2 Active"
WENDY,HARRISON,1,1,"Store 1 Active"
VICTORIA,GIBSON,1,1,"Store 1 Active"
EDITH,MCDONALD,1,1,"Store 1 Active"
KIM,CRUZ,1,1,"Store 1 Active"
SHERRY,MARSHALL,1,1,"Store 1 Active"
SYLVIA,ORTIZ,2,1,"Store 2 Active"
JOSEPHINE,GOMEZ,1,1,"Store 1 Active"
THELMA,MURRAY,1,1,"Store 1 Active"
SHANNON,FREEMAN,2,1,"Store 2 Active"
SHEILA,WELLS,1,0,"Store 1 Inactive"
ETHEL,WEBB,1,1,"Store 1 Active"
ELLEN,SIMPSON,1,1,"Store 1 Active"
ELAINE,STEVENS,2,1,"Store 2 Active"
MARJORIE,TUCKER,1,1,"Store 1 Active"
CARRIE,PORTER,1,1,"Store 1 Active"
CHARLOTTE,HUNTER,1,1,"Store 1 Active"
MONICA,HICKS,2,1,"Store 2 Active"
ESTHER,CRAWFORD,2,1,"Store 2 Active"
PAULINE,HENRY,1,1,"Store 1 Active"
EMMA,BOYD,1,1,"Store 1 Active"
JUANITA,MASON,2,1,"Store 2 Active"
